LABELS
#use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#NODE_ID,LABEL

#Examples
#defined a name for an internal node
HCADIFCJ	PRES01F07_bin.125
DILOBLHJ	PRES01F07_bin.126
GBOPGFKD	PRES01F07_bin.127
FMKBEGCK	PRES01F07_bin.128
NCPCKIFB	PRES01F07_bin.129
IOJBAPNB	PRES01F07_bin.12
KEPHKMPI	PRES01F07_bin.130
NCBPOLAL	PRES01F07_bin.131
ECAEFDAH	PRES01F07_bin.132
CEALPPKC	PRES01F07_bin.133
CNDKDBPA	PRES01F07_bin.134
OOJLFJEP	PRES01F07_bin.135
FMEHFBJE	PRES01F07_bin.136
PDAHDLEI	PRES01F07_bin.137
NOIFBGOD	PRES01F07_bin.138
KCKDIINA	PRES01F07_bin.139
AOOIJMFI	PRES01F07_bin.13
CLPIEMMM	PRES01F07_bin.140
LPBPGGAC	PRES01F07_bin.141
HPOPOFIN	PRES01F07_bin.142
BJLMEINJ	PRES01F07_bin.143
AEFLMOAH	PRES01F07_bin.144
MICMLKGF	PRES01F07_bin.145
EEONKMAG	PRES01F07_bin.146
LICPGPDO	PRES01F07_bin.147
ACKEFNBD	PRES01F07_bin.148
FJNHMMLO	PRES01F07_bin.149
AEEHDHLD	PRES01F07_bin.14
OAOFOCHA	PRES01F07_bin.150
ILJIOFIN	PRES01F07_bin.151
HDBNJKHA	PRES01F07_bin.152
DGEBAFHE	PRES01F07_bin.153
NMMFJKFH	PRES01F07_bin.154
ACJALIKA	PRES01F07_bin.155
DNGNGNEE	PRES01F07_bin.156
DDBDFPFC	PRES01F07_bin.157
BLGIHKNL	PRES01F07_bin.158
ENGPDLAC	PRES01F07_bin.159
DMNKGLNI	PRES01F07_bin.15
AOCACOJP	PRES01F07_bin.160
PFKKBDDO	PRES01F07_bin.161
FNMLMPLA	PRES01F07_bin.162
DKGLMBLM	PRES01F07_bin.163
DMGMCIFK	PRES01F07_bin.164
EPOJDDPF	PRES01F07_bin.165
PKOCHJPN	PRES01F07_bin.166
EPBGOELK	PRES01F07_bin.167
ICIPANPP	PRES01F07_bin.168
FBANOOMA	PRES01F07_bin.169
IEBDKDKH	PRES01F07_bin.16
KCDBGLBF	PRES01F07_bin.170
LAFPIKLP	PRES01F07_bin.171
GKCJMKMO	PRES01F07_bin.172
DMNNANKC	PRES01F07_bin.173
JHGEBBDF	PRES01F07_bin.174
EELHMJOM	PRES01F07_bin.175
MGLBFIDM	PRES01F07_bin.176
KCGNNICJ	PRES01F07_bin.177
DEPLDMJP	PRES01F07_bin.178
DOECCFGC	PRES01F07_bin.179
IDKKPDMK	PRES01F07_bin.17
CLCLPEBJ	PRES01F07_bin.180
KDOCPOJM	PRES01F07_bin.181
CFCDHNCB	PRES01F07_bin.182
CEHPLPOE	PRES01F07_bin.183
GNPHGGFE	PRES01F07_bin.184
LNJIODHB	PRES01F07_bin.185
NHKFJOLB	PRES01F07_bin.186
FEIMIPPJ	PRES01F07_bin.187
PPNBDKNP	PRES01F07_bin.188
KBEIFKMF	PRES01F07_bin.189
MMPNGIIB	PRES01F07_bin.18
OLJKCLCF	PRES01F07_bin.190
POPNDMJG	PRES01F07_bin.191
DNPPBNOB	PRES01F07_bin.192
LDDHBJCO	PRES01F07_bin.193
DPPIDKEM	PRES01F07_bin.194
NHCEMHEN	PRES01F07_bin.195
MAKIBFJD	PRES01F07_bin.196
OCLPIOOD	PRES01F07_bin.197
DDIMMFCC	PRES01F07_bin.198
CKKMJBDC	PRES01F07_bin.199
OIGAFGBE	PRES01F07_bin.19
NPNIJNEO	PRES01F07_bin.1
GHMCDMAG	PRES01F07_bin.200
FDPLAINP	PRES01F07_bin.201
PJJLJCID	PRES01F07_bin.202
NPLDALCI	PRES01F07_bin.203
AJMEBOMK	PRES01F07_bin.204
KHNJLLBB	PRES01F07_bin.205
HNCILFHM	PRES01F07_bin.206
KLODJNEM	PRES01F07_bin.207
OPPEHBDM	PRES01F07_bin.208
MFHLKJBK	PRES01F07_bin.209
OBFNMAMI	PRES01F07_bin.20
NNHEIDKG	PRES01F07_bin.210
PFLJHPHH	PRES01F07_bin.211
KBBGMHPE	PRES01F07_bin.212
KLJLGBHA	PRES01F07_bin.213
